status,orbital_period,semi_major_axis,planet_radius,transit_duration,insolation_flux,equilibrium_temperature,kepler_magnitude,stellar_radius,stellar_effective_temperature,stellar_surface_gravity,stellar_mass,stellar_metallicity
1,7.138048,0.0824,3.53,2.52,50.35,741.0,11.665,0.79,4975.0,4.4,0.83,0.0
1,14.09189,0.1103,2.73,2.967,45.7,663.0,12.241,0.85,5413.0,4.52,0.9,-0.03
1,12.4551225,0.1016,8.676,3.621,45.7,650.0,12.463,0.82,5282.0,4.57,0.9,0.098
1,7.6188,0.0667,2.02,2.487,44.5,658.0,14.298,0.66,4742.0,4.51,0.68,-0.33
1,12.75758,0.1064,2.73,3.243,43.02,653.0,12.069,0.84,5283.0,4.54,0.92,0.134
1,4.795069,0.04771,2.78,2.147,42.6,653.0,12.811,0.61,4140.0,4.67,0.63,0.0
1,11.3909311,0.0943,10.447,3.97,40.0,701.0,14.286,0.82,4920.0,4.54,0.86,0.41
1,10.35239,0.0856,3.58,3.362,37.7,631.0,14.384,0.74,4870.0,4.52,0.78,-0.02
1,6.201467,0.05615,2.07,1.2264,35.6,680.0,10.277,0.61,4269.0,4.65,0.61,-0.5
1,7.9752,0.0707,1.014,2.67,33.5,610.0,10.771,0.68,4500.0,4.68,0.74,-0.02
1,7.814,0.0679,0.705,2.256,32.4,664.0,11.386,0.7,4285.0,4.58,0.69,-0.12
1,6.20142,0.0611,2.04,1.248,29.0,646.0,10.277,0.62,4219.0,4.66,0.64,-0.29
1,20.65614,0.1407,3.48,5.024,27.4,583.0,12.005,0.87,5315.0,4.43,0.87,0.0
1,10.45582,0.1178,2.48,2.504,24.61,620.0,11.665,0.79,4975.0,4.4,0.83,0.0
1,5.73594,0.0532,1.91,2.654,24.1,565.0,14.364,0.57,3930.0,4.71,0.61,-0.33
1,42.3633,0.247,7.82,6.47,24.0,606.0,11.648,1.21,5743.0,4.29,1.12,0.42
1,42.36342,0.2471,8.1,7.058,23.4,560.0,11.648,1.21,5743.0,4.29,1.12,0.42
1,2.2604455,0.0192,2.56,0.9816,21.7,420.0,14.854,0.29,3214.0,4.93,0.26,0.26
1,31.71922,0.1873,3.75,5.99,15.4,505.0,12.005,0.87,5315.0,4.43,0.87,0.0
1,14.697,0.1035,2.93,3.408,13.95,538.0,11.386,0.7,4285.0,4.58,0.69,-0.12
1,19.07863,0.1229,2.54,3.859,13.1,485.0,14.298,0.66,4742.0,4.51,0.68,-0.33
1,24.3662,0.1527,2.64,3.808,12.9,482.0,10.422,0.74,4950.0,4.71,0.8,0.07
1,17.30713,0.1185,3.0,3.449,11.91,470.0,10.771,0.68,4500.0,4.68,0.74,-0.02
1,10.05449,0.0769,2.18,2.726,10.9,463.0,11.574,0.56,3896.0,4.72,0.6,-0.32
1,14.76289,0.18041,1.95,2.3,10.5,501.0,11.665,0.79,4975.0,4.4,0.83,0.0
1,10.93241,0.0818,2.26,3.498,10.2,456.0,14.364,0.57,3930.0,4.71,0.61,-0.33
1,3.48456408,0.0287,3.44,0.7637,9.91,494.0,14.528,0.29,3207.0,4.94,0.26,0.15
1,19.482,0.1249,2.73,3.6648,9.58,490.0,11.386,0.7,4285.0,4.58,0.69,-0.12
1,41.96645,0.2287,3.18,4.035,9.29,445.0,12.069,0.84,5283.0,4.54,0.92,0.134
1,5.746007,0.0385,2.025,1.3368,7.2,456.0,12.771,0.31,3348.0,4.93,0.29,0.04
1,25.575,0.1538,1.565,3.04,7.07,420.0,10.771,0.68,4500.0,4.68,0.74,-0.02
1,24.64354,0.1399,1.85,3.633,3.3,344.0,11.574,0.56,3896.0,4.72,0.6,-0.32
1,44.55983,0.2076,1.51,4.325,1.5,282.0,11.574,0.56,3896.0,4.72,0.6,-0.32
1,3650.0,4.5,12.442,53.6,0.19,183.0,12.171,2.7,4898.0,3.52,0.9,-0.23
1,9.48803557,0.0853,2.26,2.9575,93.59,793.0,15.347,0.927,5455.0,4.467,0.919,0.14
1,54.4183827,0.2734,2.83,4.507,9.11,443.0,15.347,0.927,5455.0,4.467,0.919,0.14
0,1.736952453,0.0267,33.46,2.40641,891.96,1395.0,15.597,0.791,5805.0,4.564,0.836,-0.52
1,2.525591777,0.0374,2.75,1.6545,926.16,1406.0,15.509,1.046,6031.0,4.438,1.095,0.07
1,11.09432054,0.0992,3.9,4.5945,114.81,835.0,15.714,0.972,6046.0,4.486,1.053,-0.08
1,4.13443512,0.0514,2.77,3.1402,427.65,1160.0,15.714,0.972,6046.0,4.486,1.053,-0.08
1,2.56658897,0.0374,1.59,2.429,807.74,1360.0,15.714,0.972,6046.0,4.486,1.053,-0.08
0,7.36178958,0.082,39.21,5.022,767.22,1342.0,12.66,1.958,6227.0,3.986,1.358,0.0
1,16.06864674,0.1158,5.76,3.5347,30.75,600.0,15.841,0.848,5031.0,4.485,0.801,0.16
1,2.470613377,0.0354,13.04,1.74319,761.46,1339.0,11.338,0.964,5820.0,4.457,0.971,-0.06
1,2.204735417,0.0376,16.1,3.88864,4148.92,2048.0,10.463,1.952,6440.0,4.019,1.449,0.14
1,3.522498429,0.0473,14.59,3.19843,1264.67,1521.0,13.563,1.451,6225.0,4.169,1.132,-0.04
1,3.709214104,0.0465,1.16,2.6302,500.46,1206.0,12.772,1.022,5833.0,4.407,0.974,-0.04
0,11.521446064,0.0978,150.51,3.6399,75.88,753.0,15.472,0.848,5795.0,4.554,0.938,-0.2
0,19.40393776,0.123,7.18,12.2155,17.69,523.0,15.487,0.68,5043.0,4.591,0.657,-0.54
0,19.221388942,0.1417,49.29,4.79843,55.97,698.0,15.341,0.947,6117.0,4.496,1.025,-0.22
0,16.46983774,0.1147,7.94,9.4378,29.61,595.0,15.788,0.786,5152.0,4.517,0.741,-0.2
1,9.27358173,0.0759,2.47,3.2875,41.85,649.0,15.302,0.696,4856.0,4.583,0.676,-0.3
1,6.02930329,0.0585,2.85,1.5821,50.04,678.0,15.784,0.672,4537.0,4.648,0.761,0.21
0,2.696370652,0.0349,1.58,3.6129,305.34,1066.0,15.269,0.819,4989.0,4.504,0.781,0.1
1,5.349553819,0.0563,2.55,3.0278,168.99,919.0,15.416,0.91,5185.0,4.44,0.831,0.16
1,3.94105221,0.046,1.7,2.5984,253.15,1018.0,15.416,0.91,5185.0,4.44,0.831,0.16
1,8.10904807,0.0743,1.3,3.596,97.03,800.0,15.416,0.91,5185.0,4.44,0.831,0.16
0,386.6030528,1.0719,41.5,6.8057,1.84,297.0,12.394,1.58,5543.0,4.081,1.103,0.44
1,21.67699193,0.1408,2.95,3.4555,18.64,530.0,15.377,0.828,4954.0,4.5,0.791,0.18
1,4.99677968,0.0559,2.78,2.1717,166.95,917.0,15.861,0.847,5339.0,4.552,0.931,0.18
1,4.280963604,0.0503,2.3,2.875,247.87,1012.0,15.356,0.831,5644.0,4.564,0.928,-0.14
0,1.50635409,0.025,4.53,1.5155,1054.12,1452.0,15.525,0.831,5714.0,4.563,0.926,-0.2
0,670.645531,1.5155,14.14,53.412,0.35,196.0,15.207,0.983,5520.0,4.466,1.03,0.48
0,61.2563628,0.3137,39.87,7.633,15.43,505.0,15.25,1.091,6144.0,4.402,1.093,0.0
1,38.3775486,0.2163,2.82,5.588,18.53,529.0,15.172,1.036,5481.0,4.369,0.915,0.16
1,41.19725502,0.217,3.86,4.6297,8.76,439.0,15.841,0.848,5031.0,4.485,0.801,0.16
1,6.252962249,0.0617,2.65,2.5819,108.3,823.0,15.841,0.848,5031.0,4.485,0.801,0.16
1,16.01308419,0.1148,3.1,3.2554,29.31,593.0,15.39,0.826,5015.0,4.499,0.785,0.1
1,32.62876672,0.1889,3.36,4.7971,15.55,506.0,15.082,0.798,5586.0,4.56,0.844,-0.3
1,91.7732862,0.3764,2.12,6.473,3.92,359.0,15.082,0.798,5586.0,4.56,0.844,-0.3
1,4.959319244,0.0565,12.21,2.22739,349.4,1103.0,15.263,1.082,5712.0,4.359,0.976,0.1
